id	Age	EduLevel	Gender	ReadAb	Q44	Q63	Q76	Q77	Q84	Q98	Q170	Q196
142	-999	3	2	3	3	3	3	3	2	3	4	3
143	-999	3	2	4	4	5	3	4	3	5	5	3
144	-999	5	2	3	3	4	2	5	3	4	4	4
145	-999	2	1	3	3	4	4	5	3	4	5	4
147	-999	2	2	3	2	3	2	2	2	4	5	4
148	-999	2	2	3	4	3	3	3	4	4	4	4
149	-999	5	2	4	2	2	2	3	4	4	4	4
151	-999	2	2	3	3	3	4	3	1	3	5	3
152	-999	3	2	3	4	4	4	4	4	4	2	4
153	-999	3	1	3	5	3	2	2	3	5	3	4
154	-999	2	2	4	3	3	4	4	3	3	5	3
155	-999	2	1	3	3	4	4	4	3	3	5	4
156	-999	2	2	4	3	4	4	3	3	4	4	4
158	-999	2	1	3	4	4	4	5	4	4	5	5
160	-999	2	1	4	3	5	4	5	3	4	5	5
161	-999	3	2	3	3	4	3	4	4	4	3	3
162	-999	3	2	3	3	4	2	3	3	3	4	3
164	-999	3	2	3	4	4	5	4	4	5	4	5
165	-999	5	2	4	3	3	3	2	2	4	4	4
166	-999	9	2	3	4	4	4	4	4	4	4	-999
167	-999	3	1	4	2	1	1	4	2	5	4	4
168	-999	2	2	3	2	4	4	4	2	5	5	5
169	-999	2	1	4	3	5	2	4	4	5	5	4
171	-999	5	2	3	2	2	4	2	2	2	5	4
173	-999	5	2	3	3	4	2	4	4	4	3	4
174	-999	3	2	3	2	3	2	3	2	3	4	3
175	-999	2	1	4	4	4	4	4	4	4	3	4
176	-999	2	1	3	3	4	4	4	4	3	5	4
177	-999	3	2	3	2	5	2	4	5	5	5	5
178	-999	2	2	4	3	4	2	4	3	4	5	4
179	-999	2	1	3	4	5	4	3	4	4	3	3
183	-999	2	1	3	3	3	4	4	4	4	4	4
184	-999	3	2	3	5	3	1	4	1	3	5	4
186	-999	2	1	4	3	3	3	4	2	2	4	4
187	-999	2	2	4	3	3	1	3	1	3	4	-999
188	-999	3	1	3	5	3	4	4	3	4	4	4
189	-999	3	2	4	5	5	1	4	5	5	5	5
190	-999	2	2	3	2	2	4	5	4	3	5	4
191	-999	2	2	3	5	5	5	5	5	5	5	5
192	-999	2	2	3	2	2	2	4	2	4	2	2
193	-999	2	2	3	3	4	2	4	4	5	4	4
195	-999	5	2	4	4	4	4	4	4	4	4	4
196	-999	2	2	4	3	4	4	4	4	4	5	4
197	-999	2	2	4	3	3	3	4	4	4	4	4
198	-999	3	2	3	2	2	2	2	2	5	4	4
199	-999	3	2	3	4	4	4	3	3	4	5	4
200	-999	2	1	4	4	4	4	4	3	4	4	4
201	-999	2	1	4	2	4	2	4	4	4	4	4
202	-999	2	2	3	3	4	4	4	4	4	5	4
203	-999	2	2	4	2	5	2	5	5	5	-999	5
