124	38	-999	-999	107	1
123	43	25	-999	119	2
122	39	-999	-999	112	2
118	38	-999	-999	116	2
109	32	-999	-999	100	2
109	34	20	-999	96	1
105	55	18	-999	95	1
98	57	14	-999	91	1
93	32	27	-999	98	1
91	38	22	-999	82	1
87	47	-999	-999	102	2
86	50	18	-999	94	1
77	66	29	-999	86	1
55	52	25	-999	76	1
19	42	-999	-999	59	1
-999	40	-999	-999	127	2
-999	75	-999	-999	-999	1
-999	67	-999	-999	-999	1
-999	40	-999	-999	-999	1
-999	38	-999	-999	-999	1
-999	-999	-999	-999	-999	1
145	41	24	30	124	1
120	33	23	30	120	1
115	41	22	30	170	2
160	42	26	29	129	2
129	33	30	29	168	1
129	41	29	29	143	2
126	59	17	29	121	2
109	54	13	29	131	1
97	35	24	29	143	2
168	36	26	28	156	1
144	36	24	28	154	2
119	39	29	28	98	1
118	36	24	28	141	2
114	36	25	28	107	1
109	36	28	28	168	2
109	52	27	28	117	1
99	38	29	28	98	1
129	45	26	27	132	1
121	39	26	27	148	1
121	39	25	27	116	2
119	49	24	27	154	2
114	41	23	27	115	1
113	55	25	27	149	1
111	39	22	27	113	2
109	39	24	27	152	2
100	37	28	27	85	1
95	42	19	27	92	2
171	35	24	26	168	1
168	33	22	26	165	1
143	40	24	26	122	2
127	33	29	26	149	1
121	40	29	26	145	1
121	39	25	26	141	2
115	39	25	26	121	2
109	33	24	26	96	2
106	37	25	26	136	2
102	34	26	26	184	2
102	35	29	26	100	2
99	43	23	26	127	2
98	38	25	26	93	2
94	33	24	26	105	2
91	34	30	26	88	2
89	34	29	26	173	2
-999	39	23	26	107	2
168	36	30	25	165	1
166	37	29	25	150	2
141	37	28	25	114	1
139	47	26	25	178	1
129	37	27	25	163	2
129	35	23	25	133	1
128	32	27	25	168	1
127	35	27	25	125	2
126	35	25	25	115	2
125	36	22	25	136	1
124	50	22	25	130	1
122	35	25	25	106	1
122	33	25	25	106	1
117	63	20	25	169	1
114	34	25	25	129	2
108	37	26	25	123	2
106	47	27	25	174	2
102	32	26	25	132	2
101	43	26	25	113	2
99	37	30	25	168	1
94	33	24	25	97	1
90	61	19	25	78	2
88	48	27	25	105	1
87	43	24	25	83	2
156	37	20	24	182	2
138	43	28	24	135	2
127	50	26	24	144	1
126	36	26	24	107	2
123	35	27	24	148	1
122	37	24	24	143	1
120	38	26	24	111	2
120	36	24	24	81	1
117	32	29	24	118	2
116	36	27	24	140	1
115	51	19	24	116	1
114	49	26	24	102	1
111	54	19	24	113	2
110	37	20	24	115	1
110	38	24	24	113	2
110	35	21	24	112	2
110	33	23	24	94	2
109	38	28	24	124	2
109	54	21	24	100	1
109	48	30	24	98	1
108	39	28	24	120	2
104	58	19	24	107	1
104	33	30	24	97	1
101	33	29	24	144	2
